TP,FP,FN,TN,precision,recall,f1,fpr,tilt,window
25,25,5,15,0.5,0.8333,0.625,0.625,40,300
24,17,6,23,0.5854,0.8,0.6761,0.425,40,500
23,15,7,25,0.6053,0.7667,0.6765,0.375,40,700
22,14,8,26,0.6111,0.7333,0.6667,0.35,40,900
19,14,11,26,0.5758,0.6333,0.6032,0.35,40,1100
25,22,5,18,0.5319,0.8333,0.6494,0.55,44,300
24,16,6,24,0.6,0.8,0.6857,0.4,44,500
23,15,7,25,0.6053,0.7667,0.6765,0.375,44,700
21,14,9,26,0.6,0.7,0.6462,0.35,44,900
19,14,11,26,0.5758,0.6333,0.6032,0.35,44,1100
25,20,5,20,0.5556,0.8333,0.6667,0.5,48,300
24,16,6,24,0.6,0.8,0.6857,0.4,48,500
23,15,7,25,0.6053,0.7667,0.6765,0.375,48,700
20,14,10,26,0.5882,0.6667,0.625,0.35,48,900
19,14,11,26,0.5758,0.6333,0.6032,0.35,48,1100
24,20,6,20,0.5455,0.8,0.6486,0.5,52,300
23,16,7,24,0.5897,0.7667,0.6667,0.4,52,500
23,15,7,25,0.6053,0.7667,0.6765,0.375,52,700
20,14,10,26,0.5882,0.6667,0.625,0.35,52,900
18,12,12,28,0.6,0.6,0.6,0.3,52,1100
24,20,6,20,0.5455,0.8,0.6486,0.5,56,300
22,16,8,24,0.5789,0.7333,0.6471,0.4,56,500
21,15,9,25,0.5833,0.7,0.6364,0.375,56,700
20,13,10,27,0.6061,0.6667,0.6349,0.325,56,900
18,12,12,28,0.6,0.6,0.6,0.3,56,1100
24,20,6,20,0.5455,0.8,0.6486,0.5,60,300
22,16,8,24,0.5789,0.7333,0.6471,0.4,60,500
20,14,10,26,0.5882,0.6667,0.625,0.35,60,700
20,12,10,28,0.625,0.6667,0.6452,0.3,60,900
17,11,13,29,0.6071,0.5667,0.5862,0.275,60,1100
24,20,6,20,0.5455,0.8,0.6486,0.5,64,300
20,15,10,25,0.5714,0.6667,0.6154,0.375,64,500
20,14,10,26,0.5882,0.6667,0.625,0.35,64,700
20,12,10,28,0.625,0.6667,0.6452,0.3,64,900
17,11,13,29,0.6071,0.5667,0.5862,0.275,64,1100
